"","bailey_NA","blackrock_lower","blackrock_upper","blacktail_NA","blindbull_NA","boulder_NA","box_NA","cabin_NA","clear_NA","cliff_NA","cody_bluecrane","cottonwood_grosventre","cottonwood_nps","cowboycabin_NA","crystal_lower","crystal_upper","deadman_greys","deadmansbar_NA","dell_NA","ditch_NA","dog_NA","fall_coburn","fish_grosventre","fish_NA","flat_NA","fordspring_NA","goosewing_NA","granite_lower","granite_upper","grosventre_lower","hoback_upper","horse_NA","lava_NA","leidy_NA","littlegreys_steer","lowerbarbc_NA","mosquito_NA","northbuffalofork_NA","pacific_NA","rock_NA","shoal_NA","slate_NA","snakeriversidechannel_NA","spread_southfork","spread_uppermainstem","spreadnf_flagstaff","spring_nps","spring_tss","threechannel_NA","upperbarbc_NA","white_NA","willow_NA"
"bailey_NA",NA,0.0393949721639571,0.0485281796629204,0.029426732539086,0.036440738443981,0.0313338283594617,0.057521315770005,0.0115908044709537,0.0514099319057423,0.0322854950635504,0.0665248171658427,0.0320934999667208,0.0355971664799034,0.037139400472968,0.0414990728804336,0.054828605614112,0.030496610401347,0.0576469842343238,0.0382122278632701,0.0750935847725728,0.0193128932153532,0.159693032029407,0.0424938449383091,0.0231533903035845,0.0459013236222589,0.0374175756976477,0.0380415804139273,0.028120573956554,0.0284181221090222,0.0251477412408449,0.0246698945559073,0.0275867185829992,0.0620028393425714,0.162666362128671,0.0270439456947919,0.0278484464913731,0.0208464665696692,0.0307201539877791,0.0209469789712545,0.0481276595300453,0.0232139811518402,0.075505267328778,0.040636416615257,0.043732350865711,0.0504660162374096,0.0496323532561628,0.0626761207781947,0.0631083693380235,0.0277694658005345,0.035332072477424,0.0246558945680526,0.0124136261997294
"blackrock_lower",0.0393949721639571,NA,0.048465814650992,0.0403338932791495,0.0594724165369799,0.0544636760121699,0.0476374698398223,0.0542533355182296,0.0427790842422653,0.0639507882685719,0.0901472123439583,0.0477539744451288,0.0486940392471349,0.0487180543140457,0.0551817335584147,0.0661773404386763,0.0616500718094896,0.0605477521697019,0.0531725339011904,0.0812111152825152,0.0566616029182759,0.153040546488655,0.0556825984805256,0.0323801632503685,0.0589850903535543,0.0499313558622752,0.0456341504757736,0.0508418672636767,0.0574406316092426,0.0316596382334115,0.0400772063242495,0.0580026422538544,0.0642607805342663,0.155695807418461,0.0530448629765509,0.039670818678473,0.0406964697589418,0.0302851845459696,0.0364201787444648,0.0497076327030116,0.0452283007456286,0.0850371399744181,0.0440992097829058,0.0439753764826032,0.0436848518829023,0.0455374241188694,0.0548298778621011,0.0749793080803042,0.0361157441622469,0.0396088525693672,0.052639463468205,0.0395700370986814
"blackrock_upper",0.0485281796629204,0.048465814650992,NA,0.0490300414496321,0.0615662298660944,0.0587826741918423,0.074052927449876,0.0595201631641033,0.0540246284859792,0.0626541177394077,0.0966209629859208,0.0520914781725876,0.0514567975898469,0.057795300402722,0.0609164597733871,0.0650874327835756,0.0615470663790087,0.0698613899272583,0.0743901724754978,0.0733774242268833,0.0661772926687992,0.162289086765109,0.0669956416059296,0.0453863996259569,0.0740770455514984,0.0531851874834649,0.0627625302853821,0.057413258559716,0.0584314807834112,0.0467717970742757,0.0545048072506052,0.0654809359274911,0.0597618185917465,0.153407122067196,0.0565858951299225,0.0479445945492469,0.0487722603775263,0.0436606194991868,0.0471607837475966,0.0662013912971561,0.0477011026511158,0.094885888815978,0.061092000655218,0.0556079293179872,0.0569683106613275,0.0416835228492607,0.044806970565791,0.0878135372952608,0.0583622527156888,0.0549764878537718,0.0641076736401059,0.0480394737734438
"blacktail_NA",0.029426732539086,0.0403338932791495,0.0490300414496321,NA,0.0491839956756872,0.0468346751013593,0.0575966994167286,0.0439100763099963,0.0500082129515506,0.0504235604663098,0.0733956266383593,0.0383294206246102,0.0295466214998551,0.0116079807242164,0.0427910121732958,0.0611288344410943,0.0561934150731108,0.0275321000968314,0.0418341313309806,0.0699048750106155,0.0518487111880951,0.159814881810098,0.0472538032807182,0.0240420803564461,0.0361942850487296,0.027640064807634,0.0485577317208255,0.045417238123836,0.0446613455663088,0.0184498788249967,0.0363565215978566,0.0472662455219493,0.0597670213732184,0.15299429876718,0.0478337297587307,0.0201889117701583,0.026534253187329,0.0246344493187981,0.0215814891328449,0.0456321425521297,0.0384727912466956,0.0791216336853092,0.0118044019381823,0.0441366293558091,0.0441596798475496,0.0386850521653338,0.0582091060012069,0.0626267460303607,0.0185476735283785,0.00617770782568567,0.045490902556358,0.0228317994923361
"blindbull_NA",0.036440738443981,0.0594724165369799,0.0615662298660944,0.0491839956756872,NA,0.0505225890503459,0.0721942888113388,0.0389618887404611,0.0634156276288073,0.0467509893623483,0.0905210382121473,0.0454556774333866,0.0608289618907156,0.0550732535366482,0.0591868917046312,0.063257525979864,0.0172332491773589,0.0724621719634041,0.0576985714904401,0.0818455972401834,0.0429725223086062,0.166443609894392,0.055068686802063,0.0440334750662075,0.0668844367618865,0.0461948375341969,0.0494428335746827,0.0421248328898009,0.0424886837332726,0.0469155429252074,0.0405313333263423,0.0549707869957137,0.0804531432152201,0.164252071958422,0.0190656647939342,0.0483496941483419,0.0406436833862235,0.0489052723632836,0.0536361213228345,0.0693610206401574,0.038149567726871,0.0794986607339466,0.0549288054135837,0.0627725497652502,0.0648989377726533,0.0625427968081175,0.0781599550988212,0.0837290570554668,0.0416400879429387,0.0543315143737371,0.0175333963869609,0.0305690223577019
"boulder_NA",0.0313338283594617,0.0544636760121699,0.0587826741918423,0.0468346751013593,0.0505225890503459,NA,0.0673161895442564,0.035532519371561,0.0644187116266073,0.026546853823545,0.0902434970931033,0.0482145115313629,0.0568469062585772,0.0534432330396169,0.0506973862897307,0.0608378557028218,0.0517666469255691,0.0732256905950787,0.0497859983925323,0.0874216649185432,0.0357733683479338,0.156635398368763,0.0480789121803386,0.0420094595966055,0.0676544474565013,0.0457202361620732,0.0576189951391827,0.010196212443779,0.0253223117990942,0.0482486571774532,0.0230356811566853,0.0482753354009029,0.0785934399520545,0.17188173401854,0.0333004398385463,0.0367347854385394,0.0366496587243367,0.0479777471291242,0.0455233678305813,0.0680994203188511,0.0182571396265009,0.0840040024112833,0.0527509785735368,0.0626585343660266,0.0607655515329791,0.0586065752736034,0.0732362635155807,0.0787049632429302,0.0472080991174281,0.0474133028969885,0.0464208909456807,0.0262349520717764
"box_NA",0.057521315770005,0.0476374698398223,0.074052927449876,0.0575966994167286,0.0721942888113388,0.0673161895442564,NA,0.0696545603870433,0.0330326151088513,0.0770788955919142,0.0821075421581811,0.0643090335519898,0.0691825455871012,0.0632687907566648,0.0681827928419902,0.0685583561850067,0.0795579522254441,0.0769945731077414,0.0796489246092442,0.106829580997128,0.0695940564818966,0.181570442896578,0.0701565754394804,0.040584835964267,0.0691489533184793,0.0620161200967938,0.0752863152199238,0.0680973450097323,0.0670949139243493,0.0523029547378808,0.0503168509289564,0.0689520594802538,0.078875048553838,0.197951633117191,0.0666701619394612,0.0506745879205756,0.0512693446914101,0.0373410019358112,0.0525642115040362,0.064089138976701,0.0610849132787201,0.10044155091508,0.0684026516809656,0.0618412386488822,0.0557209680785001,0.0654018526098284,0.0852934180928375,0.0739977501914856,0.0455469524911727,0.0615383433199799,0.0638881026018127,0.0520246544432563
"cabin_NA",0.0115908044709537,0.0542533355182296,0.0595201631641033,0.0439100763099963,0.0389618887404611,0.035532519371561,0.0696545603870433,NA,0.0661704848376672,0.0342595007963863,0.0817902068908418,0.0489464967238167,0.0481728225219593,0.0488391189619487,0.0538442247435319,0.0570640231092618,0.0292150908236937,0.075867292137817,0.0524838303067336,0.0830439838520204,0.0184321767231839,0.147177719968349,0.0544083912196014,0.0382576072931314,0.0655997703406006,0.0395819484126738,0.0524700160941215,0.0330493526200977,0.0387680669554849,0.0437223534651215,0.0343919858584216,0.031746482782728,0.0664271893804968,0.170702149691592,0.0296446700480863,0.0431490700873435,0.0322770792070727,0.0419147971595502,0.0425355566300145,0.0654969514480932,0.0329171462863663,0.0820242256893752,0.058209551874646,0.0597621288281055,0.0593548167046066,0.0564863156951326,0.0743287722085551,0.075940650336363,0.0469146613832336,0.0490893988817311,0.0254192345225966,0.0199553658119993
"clear_NA",0.0514099319057423,0.0427790842422653,0.0540246284859792,0.0500082129515506,0.0634156276288073,0.0644187116266073,0.0330326151088513,0.0661704848376672,NA,0.0755452867371245,0.0628229168412464,0.0631300216485424,0.0569959055519409,0.0553054932014532,0.0665987013367459,0.0702596170215069,0.0722748845452242,0.0643390712908492,0.0728189205947492,0.0903128889528843,0.066329458676335,0.165953019406431,0.0736672325217877,0.0367204674039553,0.060500899264515,0.0536530150518629,0.0694224193253968,0.0622174629331709,0.0614020908788939,0.0463871657615995,0.0473811650523826,0.0657530324344319,0.0765151509454917,0.182112591259983,0.0658149198043357,0.044450002077052,0.0425201864882029,0.0320937448857785,0.0436897358094871,0.0648028576621189,0.0575778102885647,0.0990522025799234,0.0578475939986606,0.0558504511826086,0.0441333638929984,0.0513879804781004,0.0718189047703376,0.0544869230162319,0.049862631332461,0.0515123311914556,0.0633997356960097,0.0478102040165319
"cliff_NA",0.0322854950635504,0.0639507882685719,0.0626541177394077,0.0504235604663098,0.0467509893623483,0.026546853823545,0.0770788955919142,0.0342595007963863,0.0755452867371245,NA,0.0953226628953236,0.0493038533612198,0.057991748583529,0.0531725298635287,0.0533537728706728,0.0617120788311606,0.0476937088529276,0.0700561596317513,0.0514394428562321,0.0836721260445165,0.0407350146802022,0.148513138850612,0.060907447145464,0.0453863806570531,0.0693933496202616,0.0493814008925754,0.0551671511495037,0.0198024250555469,0.0265627822926112,0.0500934159714941,0.0289080626664674,0.0511474401867545,0.0743876678771956,0.167098575182802,0.0364936423199482,0.0440776363176373,0.0364870369755293,0.0546594797338274,0.0492750664317342,0.0613074002994543,0.0208361096261412,0.0852822311589495,0.0577200315717568,0.0623637621851482,0.0609866951081523,0.0505140039799561,0.0695648119517998,0.0867253544359967,0.0494024246573603,0.0498398847270061,0.0398452234652001,0.0277314976329031
