mixture_collection,repunit,bs_corrected_repunit_ppn
snake_wilsonsouthpark_2020,bailey_NA,0
snake_wilsonsouthpark_2020,blackrock_lower,2.153222948931278e-6
snake_wilsonsouthpark_2020,blackrock_upper,5.4974086331786845e-5
snake_wilsonsouthpark_2020,blacktail_NA,0.006001438795915706
snake_wilsonsouthpark_2020,blindbull_NA,4.4757832156838777e-5
snake_wilsonsouthpark_2020,cody_bluecrane,8.014901753469953e-5
snake_wilsonsouthpark_2020,boulder_NA,0.020250284916695407
snake_wilsonsouthpark_2020,box_NA,4.403418327020109e-6
snake_wilsonsouthpark_2020,cabin_NA,0
snake_wilsonsouthpark_2020,clear_NA,6.044549039997999e-5
snake_wilsonsouthpark_2020,cliff_NA,0
snake_wilsonsouthpark_2020,fall_coburn,0
snake_wilsonsouthpark_2020,cottonwood_grosventre,4.168212035970777e-5
snake_wilsonsouthpark_2020,cottonwood_nps,0.008193669181010948
snake_wilsonsouthpark_2020,cowboycabin_NA,0.00329033685605597
snake_wilsonsouthpark_2020,crystal_lower,6.691971498031755e-5
snake_wilsonsouthpark_2020,crystal_upper,1.387086736933013e-5
snake_wilsonsouthpark_2020,deadmansbar_NA,0
snake_wilsonsouthpark_2020,dell_NA,1.8451396131628906e-5
snake_wilsonsouthpark_2020,ditch_NA,0
snake_wilsonsouthpark_2020,dog_NA,1.1650503823898665e-4
snake_wilsonsouthpark_2020,fish_grosventre,5.13270477104028e-5
snake_wilsonsouthpark_2020,fish_NA,0.4354968453614242
snake_wilsonsouthpark_2020,spreadnf_flagstaff,1.1389633339262298e-4
snake_wilsonsouthpark_2020,flat_NA,5.465559995494109e-5
snake_wilsonsouthpark_2020,fordspring_NA,0
snake_wilsonsouthpark_2020,goosewing_NA,8.277170047204934e-5
snake_wilsonsouthpark_2020,granite_lower,0.030305376298055454
snake_wilsonsouthpark_2020,granite_upper,1.1462378637741492e-4
snake_wilsonsouthpark_2020,grosventre_lower,0.05543613952834062
snake_wilsonsouthpark_2020,hoback_upper,0.02342188590445557
snake_wilsonsouthpark_2020,horse_NA,0
snake_wilsonsouthpark_2020,lava_NA,6.411049542062466e-5
snake_wilsonsouthpark_2020,leidy_NA,0
snake_wilsonsouthpark_2020,littlegreys_steer,0.0064129711569237266
snake_wilsonsouthpark_2020,lowerbarbc_NA,0.08169971082376846
snake_wilsonsouthpark_2020,mosquito_NA,0.18291120335198505
snake_wilsonsouthpark_2020,northbuffalofork_NA,0
snake_wilsonsouthpark_2020,deadman_greys,5.616809383890563e-5
snake_wilsonsouthpark_2020,pacific_NA,0
snake_wilsonsouthpark_2020,rock_NA,9.115709614734224e-5
snake_wilsonsouthpark_2020,shoal_NA,0.021955951487156726
snake_wilsonsouthpark_2020,slate_NA,1.4139538488563378e-4
snake_wilsonsouthpark_2020,snakeriversidechannel_NA,0
snake_wilsonsouthpark_2020,spread_southfork,0
snake_wilsonsouthpark_2020,spread_uppermainstem,0
snake_wilsonsouthpark_2020,spring_nps,9.729248674475201e-5
snake_wilsonsouthpark_2020,spring_tss,0.002101923741152453
snake_wilsonsouthpark_2020,threechannel_NA,0.0475751061389329
snake_wilsonsouthpark_2020,upperbarbc_NA,0.0038147420033982846
snake_wilsonsouthpark_2020,white_NA,7.413473331455818e-5
snake_wilsonsouthpark_2020,willow_NA,0.06968656949169014
snake_deadmansmoose_2020,bailey_NA,0
snake_deadmansmoose_2020,blackrock_lower,0
snake_deadmansmoose_2020,blackrock_upper,1.518997120587368e-5
snake_deadmansmoose_2020,blacktail_NA,0.2743133110407622
snake_deadmansmoose_2020,blindbull_NA,0
snake_deadmansmoose_2020,cody_bluecrane,0
snake_deadmansmoose_2020,boulder_NA,0
snake_deadmansmoose_2020,box_NA,1.825186333741866e-4
snake_deadmansmoose_2020,cabin_NA,1.405191164834566e-4
snake_deadmansmoose_2020,clear_NA,1.7132211429794972e-4
snake_deadmansmoose_2020,cliff_NA,0
snake_deadmansmoose_2020,fall_coburn,1.3202133213901517e-4
snake_deadmansmoose_2020,cottonwood_grosventre,0
snake_deadmansmoose_2020,cottonwood_nps,0.07761483734687494
snake_deadmansmoose_2020,cowboycabin_NA,0.0029983282319420612
snake_deadmansmoose_2020,crystal_lower,0.005244066579460985
snake_deadmansmoose_2020,crystal_upper,0.002247214248961049
snake_deadmansmoose_2020,deadmansbar_NA,0
snake_deadmansmoose_2020,dell_NA,1.1610193906143468e-4
snake_deadmansmoose_2020,ditch_NA,0
snake_deadmansmoose_2020,dog_NA,0
snake_deadmansmoose_2020,fish_grosventre,0.006174749262903246
snake_deadmansmoose_2020,fish_NA,0.16770579790768098
snake_deadmansmoose_2020,spreadnf_flagstaff,1.6874896115949946e-4
snake_deadmansmoose_2020,flat_NA,4.7964235690380295e-5
snake_deadmansmoose_2020,fordspring_NA,0
snake_deadmansmoose_2020,goosewing_NA,4.8829464869009345e-5
snake_deadmansmoose_2020,granite_lower,4.058798037501349e-6
snake_deadmansmoose_2020,granite_upper,2.1484086756988312e-4
snake_deadmansmoose_2020,grosventre_lower,0.060955606088100904
snake_deadmansmoose_2020,hoback_upper,0
