indiv,CORRgenID,corrSite
OclVARI23G_0001,20TJ0001,spread_northfork
OclVARI23G_0002,20TJ0002,spread_northfork
OclVARI23G_0003,20TJ0003,spread_northfork
OclVARI23G_0004,20TJ0004,spread_northfork
OclVARI23G_0005,20TJ0005,spread_northfork
OclVARI23G_0006,20TJ0006,spread_northfork
OclVARI23G_0007,20TJ0007,spread_northfork
OclVARI23G_0008,20TJ0008,spread_northfork
OclVARI23G_0009,20TJ0009,spread_northfork
OclVARI23G_0010,20TJ0010,spread_northfork
OclVARI23G_0011,20TJ0011,spread_northfork
OclVARI23G_0012,20TJ0012,spread_northfork
OclVARI23G_0013,20TJ0013,spread_northfork
OclVARI23G_0014,20TJ0014,spread_northfork
OclVARI23G_0015,20TJ0015,flagstaff_NA
OclVARI23G_0016,20TJ0016,flagstaff_NA
OclVARI23G_0017,20TJ0017,flagstaff_NA
OclVARI23G_0018,20TJ0018,flagstaff_NA
OclVARI23G_0019,20TJ0019,flagstaff_NA
OclVARI23G_0020,20TJ0020,flagstaff_NA
OclVARI23G_0021,20TJ0021,flagstaff_NA
OclVARI23G_0022,20TJ0022,flagstaff_NA
OclVARI23G_0023,20TJ0023,flagstaff_NA
OclVARI23G_0024,20TJ0024,flagstaff_NA
OclVARI23G_0025,20TJ0025,flagstaff_NA
OclVARI23G_0026,20TJ0026,flagstaff_NA
OclVARI23G_0027,20TJ0027,flagstaff_NA
OclVARI23G_0028,20TJ0028,flagstaff_NA
OclVARI23G_0029,20TJ0029,spread_southfork
OclVARI23G_0030,20TJ0030,spread_southfork
OclVARI23G_0031,20TJ0031,leidy_NA
OclVARI23G_0032,20TJ0032,leidy_NA
OclVARI23G_0033,20TJ0033,leidy_NA
OclVARI23G_0034,20TJ0034,leidy_NA
OclVARI23G_0035,20TJ0035,leidy_NA
OclVARI23G_0036,20TJ0036,leidy_NA
OclVARI23G_0037,20TJ0037,leidy_NA
OclVARI23G_0038,20TJ0038,leidy_NA
OclVARI23G_0039,20TJ0039,leidy_NA
OclVARI23G_0040,20TJ0040,leidy_NA
OclVARI23G_0041,20TJ0041,leidy_NA
OclVARI23G_0042,20TJ0042,leidy_NA
OclVARI23G_0043,20TJ0043,leidy_NA
OclVARI23G_0044,20TJ0044,leidy_NA
OclVARI23G_0045,20TJ0045,leidy_NA
OclVARI23G_0046,20TJ0046,leidy_NA
OclVARI23G_0047,20TJ0047,leidy_NA
OclVARI23G_0048,20TJ0048,leidy_NA
OclVARI23G_0049,20TJ0049,leidy_NA
OclVARI23G_0050,20TJ0050,leidy_NA
OclVARI23G_0051,20TJ0051,leidy_NA
OclVARI23G_0052,20TJ0052,leidy_NA
OclVARI23G_0053,20TJ0053,leidy_NA
OclVARI23G_0054,20TJ0054,leidy_NA
OclVARI23G_0055,20TJ0055,leidy_NA
OclVARI23G_0056,20TJ0056,leidy_NA
OclVARI23G_0057,20TJ0057,leidy_NA
OclVARI23G_0058,20TJ0058,leidy_NA
OclVARI23G_0059,20TJ0059,leidy_NA
OclVARI23G_0060,20TJ0060,leidy_NA
OclVARI23G_0061,20TJ0061,leidy_NA
OclVARI23G_0062,20TJ0062,leidy_NA
OclVARI23G_0063,20TJ0063,leidy_NA
OclVARI23G_0064,20TJ0064,leidy_NA
OclVARI23G_0065,20TJ0065,leidy_NA
OclVARI23G_0066,20TJ0066,leidy_NA
OclVARI23G_0067,20TJ0067,leidy_NA
OclVARI23G_0068,20TJ0068,leidy_NA
OclVARI23G_0069,20TJ0069,leidy_NA
OclVARI23G_0070,20TJ0070,leidy_NA
OclVARI23G_0071,20TJ0071,spread_uppermainstem
OclVARI23G_0072,20TJ0072,spread_uppermainstem
OclVARI23G_0073,20TJ0073,spread_uppermainstem
OclVARI23G_0074,20TJ0074,spread_uppermainstem
OclVARI23G_0075,20TJ0075,spread_uppermainstem
OclVARI23G_0076,20TJ0076,spread_uppermainstem
OclVARI23G_0077,20TJ0077,spread_uppermainstem
OclVARI23G_0078,20TJ0078,spread_uppermainstem
OclVARI23G_0079,20TJ0079,spread_uppermainstem
OclVARI23G_0080,20TJ0080,spread_uppermainstem
OclVARI23G_0081,20TJ0081,spread_uppermainstem
OclVARI23G_0082,20TJ0082,spread_uppermainstem
OclVARI23G_0083,20TJ0083,spread_uppermainstem
OclVARI23G_0084,20TJ0084,spread_uppermainstem
OclVARI23G_0085,20TJ0085,spread_uppermainstem
OclVARI23G_0086,20TJ0086,spread_uppermainstem
OclVARI23G_0087,20TJ0087,spread_uppermainstem
OclVARI23G_0088,20TJ0088,spread_uppermainstem
OclVARI23G_0089,20TJ0089,spread_uppermainstem
OclVARI23G_0090,20TJ0090,spread_uppermainstem
