"BarrierType","lat","lon","Name","SARPID","Source","SourceID","Snapped","NHDPlusID","River","StreamSizeClass","FlowsToOcean","FlowsToGreatLakes","NIDID","NIDFederalID","PartnerID","Estimated","AnnualVelocity","AnnualFlow","TotDASqKm","YearCompleted","FERCRegulated","StateRegulated","NRCSDam","FedRegulatoryAgency","WaterRight","IsPriority","Height","Length","Width","Hazard","Construction","Purpose","Passability","FishScreen","ScreenType","Feasibility","Recon","Diversion","LowheadDam","StorageVolume","WaterbodyAcres","Fatality","Removed","YearRemoved","Condition","PassageFacility","TESpp","StateSGCNSpp","RegionalSGCNSpp","Trout","OwnerType","BarrierOwnerType","ProtectedLand","SourceLink","EJTract","EJTribal","NativeTerritories","WildScenicRiver","FishHabitatPartnership","Basin","Subbasin","Subwatershed","HUC2","HUC6","HUC8","HUC10","HUC12","State","County","CongressionalDistrict","Excluded","Invasive","OnLoop","HasNetwork","Ranked","Intermittent","Canal","StreamOrder","Landcover","SizeClasses","PerennialSizeClasses","MainstemSizeClasses","TotalUpstreamMiles","PerennialUpstreamMiles","IntermittentUpstreamMiles","AlteredUpstreamMiles","UnalteredUpstreamMiles","PercentUnaltered","PerennialUnalteredUpstreamMiles","PercentPerennialUnaltered","ResilientUpstreamMiles","PercentResilient","UpstreamDrainageAcres","UpstreamUnalteredWaterbodyAcres","UpstreamUnalteredWetlandAcres","TotalDownstreamMiles","FreeDownstreamMiles","FreePerennialDownstreamMiles","FreeIntermittentDownstreamMiles","FreeAlteredDownstreamMiles","FreeUnalteredDownstreamMiles","FreeResilientDownstreamMiles","GainMiles","PerennialGainMiles","TotalNetworkMiles","TotalPerennialNetworkMiles","TotalUpstreamMainstemMiles","PerennialUpstreamMainstemMiles","IntermittentUpstreamMainstemMiles","AlteredUpstreamMainstemMiles","UnalteredUpstreamMainstemMiles","PerennialUnalteredUpstreamMainstemMiles","PercentMainstemUnaltered","FreeLinearDownstreamMiles","FreePerennialLinearDownstreamMiles","FreeIntermittentLinearDownstreamMiles","FreeAlteredLinearDownstreamMiles","FreeUnalteredLinearDownstreamMiles","MainstemGainMiles","PerennialMainstemGainMiles","TotalMainstemNetworkMiles","TotalMainstemPerennialNetworkMiles","UpstreamWaterfalls","UpstreamDams","UpstreamSmallBarriers","UpstreamRoadCrossings","UpstreamHeadwaters","TotalUpstreamRoadCrossings","TotalDownstreamWaterfalls","TotalDownstreamDams","TotalDownstreamSmallBarriers","MilesToOutlet","InvasiveNetwork","YellowstoneCutthroatTroutHabitatUpstreamMiles","FreeYellowstoneCutthroatTroutHabitatDownstreamMiles","URL","CrossingCode","NearestCrossingID","NearestUSGSCrossingID","Road","RoadType","CrossingType","Constriction","PotentialProject","BarrierSeverity","SARP_Score","ProtocolUsed"
"Dam",42.725666,-111.073944,"Smoky Canyon No 2","ID277","NID 2022","ID00457",true,55001200108731,"Tygee Creek  Stump Creek","1b","yes","no","ID00457","ID00457","","no",-1,4.908317,22.3094,1992,"Unknown","Yes","No","Mine Safety and Health Administration","Unknown","not identified as a priority by resource managers",108,1600,0,"Significant","Unknown","Tailings","Unknown","Unknown","Unknown","Not assessed","Not yet evaluated","Unknown","Unknown",,278.96704,0,"no",0,"Satisfactory","Unknown or none",0,1,0,"not recorded","","Private","no","","no","no","Cayuse, Umatilla and Walla Walla, Shoshone-Bannock","","Desert Fish Habitat Partnership, Western Native Trout Initiative","Snake Headwaters","Salt","Tygee Creek","17","170401","17040105","1704010502","170401050202","Idaho","Caribou","ID02","no","no","no","yes","yes","stream is not likely intermittent / ephemeral","stream is not identified by NHD as a canal/ditch",4,99,1,1,0,20.758,5.353,15.405,3.885,16.873,81,1.468,27,20.758,100,7349.57,1.2908691,160.66566,207.642,207.642,104.995,102.646,1.544,206.098,133.319,20.758,5.353,228.4,110.348,0.232,0.232,0,0.232,0,0,0,11.829,11.829,0,0.737,11.091,0.232,0.232,12.06,12.06,0,1,0,12,13,16,3,41,0,1319.6577,"no",3.173,81.556,"https://aquaticbarriers.org/report/combined_barriers/ID277","","","","","Not applicable (dam)","Not applicable (dam)","Not applicable (dam)","","Not applicable (dam)",-1,""
"Dam",43.621593,-111.68593,"","ID2815","OpenStreetMap (https://opendatacommons.org/licenses/odbl/)","6854594897",true,55001200026385,"","1a","no","no","","","","no",0.62981,0.073698,5.2948,0,"Unknown","Unknown","No","","Unknown","not identified as a priority by resource managers",0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not assessed","Not yet evaluated","Unknown","Unknown",,-1,0,"no",0,"Unknown","Unknown or none",0,0,0,"not recorded","","Unknown","no","https://www.openstreetmap.org/node/6854594897","no","no","Cayuse, Umatilla and Walla Walla, Newe Sogobia (Eastern Shoshone), Shoshone-Bannock","","Desert Fish Habitat Partnership, Western Native Trout Initiative","Snake Headwaters","Palisades","Kelly Canyon-Snake River","17","170401","17040104","1704010409","170401040906","Idaho","Bonneville","ID02","no","no","no","yes","yes","stream is not likely intermittent / ephemeral","stream is not identified by NHD as a canal/ditch",1,3,0,0,0,0.004,0.004,0,0.004,0,0,0,0,0,0,1308.3715,0,0,0.567,0.567,0.567,0,0.567,0,0,0.004,0.004,0.571,0.571,0.004,0.004,0,0.004,0,0,0,0.567,0.567,0,0.567,0,0.004,0.004,0.571,0.571,0,0,0,0,1,0,0,0,0,0.566903,"no",0,0,"https://aquaticbarriers.org/report/combined_barriers/ID2815","","","","","Not applicable (dam)","Not applicable (dam)","Not applicable (dam)","","Not applicable (dam)",-1,""
"Dam",43.44331,-111.34963,"","ID2821","OpenStreetMap (https://opendatacommons.org/licenses/odbl/)","9121623576",true,55001200091716,"","1a","yes","no","","","","no",0.4905567,0.008335,0.4207,0,"Unknown","Unknown","No","","Unknown","not identified as a priority by resource managers",0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not assessed","Not yet evaluated","Unknown","Unknown",,-1,0,"no",0,"Unknown","Unknown or none",0,0,0,"not recorded","","Unknown","no","https://www.openstreetmap.org/node/9121623576","no","no","Cayuse, Umatilla and Walla Walla, Shoshone-Bannock","","Desert Fish Habitat Partnership, Western Native Trout Initiative","Snake Headwaters","Palisades","Rainey Creek","17","170401","17040104","1704010407","170401040703","Idaho","Bonneville","ID02","no","no","no","yes","yes","stream is likely intermittent / ephemeral","stream is not identified by NHD as a canal/ditch",1,34,0,0,0,0.299,0,0.299,0,0.299,100,0,0,0.299,100,103.95708,0,0,5181.774,5110.624,2424.974,2685.651,87.4,5023.224,4041.682,0.299,0,5110.924,2424.974,0,0,0,0,0,0,0,75.385,75.102,0.284,0,75.385,-1,-1,-1,-1,0,0,0,0,1,0,3,37,0,1238.8602,"no",0,332.707,"https://aquaticbarriers.org/report/combined_barriers/ID2821","","","","","Not applicable (dam)","Not applicable (dam)","Not applicable (dam)","","Not applicable (dam)",-1,""
"Dam",43.525833,-111.530365,"Antelope Creek","ID48","NID 2022","ID00472",true,55001200027046,"Antelope Creek  Snake River","1b","yes","no","ID00472","ID00472","","no",1.0739042,5.277817,38.0258,1991,"Unknown","Yes","No","","Yes","not identified as a priority by resource managers",22,350,0,"Significant","Unknown","Agriculture","Unknown","Unknown","Unknown","Not assessed","Not yet evaluated","Yes","Unknown",,-1,0,"no",0,"Fair","Unknown or none",0,0,0,"not recorded","","Private","no","","no","no","Cayuse, Umatilla and Walla Walla, Shoshone-Bannock","","Desert Fish Habitat Partnership, Western Native Trout Initiative","Snake Headwaters","Palisades","Upper Antelope Creek","17","170401","17040104","1704010409","170401040903","Idaho","Bonneville","ID02","no","no","no","yes","yes","stream is not likely intermittent / ephemeral","stream is not identified by NHD as a canal/ditch",3,94,1,1,1,41.633,14.335,27.298,0,41.633,100,14.335,100,0,0,17374.223,1.14422,39.76055,65.513,65.513,8.091,57.422,0,65.513,0,41.633,8.091,107.146,22.425,7.419,7.419,0,0,7.419,7.419,100,6.953,3.648,3.305,0,6.953,6.953,3.648,14.372,11.067,0,0,0,54,41,54,3,37,1,1221.1176,"no",4.511,0,"https://aquaticbarriers.org/report/combined_barriers/ID48","","","","","Not applicable (dam)","Not applicable (dam)","Not applicable (dam)","","Not applicable (dam)",-1,""
"Dam",43.480244,-111.49451,"Estimated dam","ID659","ESTIMATED DAMS OCT 2021","17070250",true,55001200123205,"","1a","yes","no","","","","yes",-1,0.081163,0.7458,0,"Unknown","Unknown","No","","Unknown","not identified as a priority by resource managers",0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not assessed","Not yet evaluated","Unknown","Unknown",,6.064032,0,"no",0,"Unknown","Unknown or none",0,0,0,"not recorded","","Unknown","no","","no","no","Cayuse, Umatilla and Walla Walla, Shoshone-Bannock","","Desert Fish Habitat Partnership, Western Native Trout Initiative","Snake Headwaters","Palisades","Garden Creek","17","170401","17040104","1704010407","170401040704","Idaho","Bonneville","ID02","no","no","no","yes","yes","stream is not likely intermittent / ephemeral","stream is not identified by NHD as a canal/ditch",1,88,0,0,0,0.098,0.098,0,0.098,0,0,0,0,0,0,184.29091,0,1.8377948,12.974,12.974,3.871,9.102,0,12.974,0,0.098,0.098,13.072,3.97,0,0,0,0,0,0,0,1.456,0,1.456,0,1.456,-1,-1,-1,-1,0,0,0,0,1,0,3,37,3,1236.598,"no",0,0,"https://aquaticbarriers.org/report/combined_barriers/ID659","","","","","Not applicable (dam)","Not applicable (dam)","Not applicable (dam)","","Not applicable (dam)",-1,""
"Dam",42.555065,-111.18135,"Stewart Ranch","ID79","NID 2022","ID00379",true,55001200012363,"Unnamed Stream  Crow Creek","1a","yes","no","ID00379","ID00379","","no",-1,0.358595,0.9533,1965,"Unknown","Yes","No","","Yes","not identified as a priority by resource managers",15,1540,0,"Low","Unknown","Other","Unknown","Unknown","Unknown","Not assessed","Not yet evaluated","Yes","Unknown",,7.2449303,0,"no",0,"Fair","Unknown or none",0,0,0,"cutthroat trout","","Private","no","","no","no","Shoshone-Bannock","","Desert Fish Habitat Partnership, Western Native Trout Initiative","Snake Headwaters","Salt","Upper Crow Creek","17","170401","17040105","1704010501","170401050106","Idaho","Caribou","ID02","no","no","no","yes","yes","stream is not likely intermittent / ephemeral","stream is not identified by NHD as a canal/ditch",1,100,0,0,0,0.873,0.753,0.12,0.013,0.861,99,0.741,98,0.873,100,235.56519,0,0,471.544,470.85,192.585,278.265,7.633,463.216,270.157,0.873,0.753,471.723,193.338,0,0,0,0,0,0,0,34.653,34.653,0,0.453,34.2,-1,-1,-1,-1,0,0,0,0,1,0,3,42,0,1350.1492,"no",0,119.524,"https://aquaticbarriers.org/report/combined_barriers/ID79","","","","","Not applicable (dam)","Not applicable (dam)","Not applicable (dam)","","Not applicable (dam)",-1,""
"Dam",42.714222,-111.0832,"Smoky Canyon No 1","ID80","NID 2022","ID00444",true,55001200124730,"Roberts Creek  Tygee Creek","1a","yes","no","ID00444","ID00444","","no",-1,0.999815,4.0477,1983,"Unknown","Yes","No","Mine Safety and Health Administration","Unknown","not identified as a priority by resource managers",80,3650,0,"Low","Unknown","Tailings","Unknown","Unknown","Unknown","Not assessed","Not yet evaluated","Unknown","Unknown",,79.42834,0,"no",0,"Fair","Unknown or none",0,1,0,"not recorded","","Private","no","","no","no","Cayuse, Umatilla and Walla Walla, Shoshone-Bannock","","Desert Fish Habitat Partnership, Western Native Trout Initiative","Snake Headwaters","Salt","Tygee Creek","17","170401","17040105","1704010502","170401050202","Idaho","Caribou","ID02","no","no","no","yes","yes","stream is not likely intermittent / ephemeral","stream is not identified by NHD as a canal/ditch",2,99,0,0,0,5.62,1.123,4.497,1.077,4.543,81,0.046,4,5.62,100,1330.3638,0.51867115,23.243132,20.758,16.873,1.468,15.405,0,16.873,16.873,5.62,1.123,22.493,2.591,0.75,0.566,0.183,0.566,0.183,0,24,0.101,0.101,0,0,0.101,0.101,0.101,0.85,0.667,0,0,0,4,5,4,3,42,0,1320.7808,"no",2.016,1.171,"https://aquaticbarriers.org/report/combined_barriers/ID80","","","","","Not applicable (dam)","Not applicable (dam)","Not applicable (dam)","","Not applicable (dam)",-1,""
"Dam",42.920303,-111.12772,"Estimated dam","ID922","ESTIMATED DAMS OCT 2021","17066020",true,55001200028623,"South Fork Tincup Creek","1b","yes","no","","","","yes",-1,3.311893,10.6797,0,"Unknown","Unknown","No","","Unknown","not identified as a priority by resource managers",0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not assessed","Not yet evaluated","Unknown","Unknown",,0.2789974,0,"no",0,"Unknown","Unknown or none",0,0,0,"cutthroat trout","USDA Forest Service (ownership boundary)","Unknown","yes","","no","no","Cayuse, Umatilla and Walla Walla, Shoshone-Bannock","","Desert Fish Habitat Partnership, Western Native Trout Initiative","Snake Headwaters","Salt","South Fork Tincup Creek","17","170401","17040105","1704010503","170401050303","Idaho","Caribou","ID02","no","no","no","yes","yes","stream is not likely intermittent / ephemeral","stream is not identified by NHD as a canal/ditch",3,100,1,1,1,6.305,3.444,2.861,0.031,6.274,100,3.413,99,6.305,100,2639.007,1.1569208,23.475338,32.191,32.191,21.423,10.767,0,32.191,32.191,6.305,3.444,38.496,24.867,1.24,1.24,0,0.031,1.209,1.209,98,5.91,5.91,0,0,5.91,1.24,1.24,7.15,7.15,0,0,0,0,7,0,3,37,2,1298.5626,"no",0.173,11.401,"https://aquaticbarriers.org/report/combined_barriers/ID922","","","","","Not applicable (dam)","Not applicable (dam)","Not applicable (dam)","","Not applicable (dam)",-1,""
"Dam",43.46473,-110.82978,"Estimated dam","WY106834","Estimated Dams OCT 2021","1704001753",true,55001200029803,"","1a","yes","no","","","","yes",-1,0.070596,2.4665,0,"Unknown","Unknown","No","","Unknown","not identified as a priority by resource managers",0,113,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not assessed","Not yet evaluated","Unknown","Unknown",,2.3458326,0,"no",0,"Unknown","Unknown or none",0,0,0,"cutthroat trout","","Unknown","no","","no","no","Cayuse, Umatilla and Walla Walla, Newe Sogobia (Eastern Shoshone), Shoshone-Bannock, Tséstho’e (Cheyenne)","","Desert Fish Habitat Partnership, Western Native Trout Initiative","Snake Headwaters","Greys-Hoback","Spring Creek-Snake River","17","170401","17040103","1704010305","170401030504","Wyoming","Teton","WY00","no","no","no","yes","yes","stream is not likely intermittent / ephemeral","stream is not identified by NHD as a canal/ditch",1,81,0,0,0,0.093,0.07,0.022,0.07,0.022,24,0,0,0.093,100,10.501963,0,0.3358477,5181.774,5110.624,2424.974,2685.651,87.4,5023.224,4041.682,0.093,0.07,5110.718,2425.044,0,0,0,0,0,0,0,124.902,122.04,2.862,0.381,124.521,-1,-1,-1,-1,0,1,0,1,0,11,3,37,0,1307.9497,"no",0,332.707,"https://aquaticbarriers.org/report/combined_barriers/WY106834","","","","","Not applicable (dam)","Not applicable (dam)","Not applicable (dam)","","Not applicable (dam)",-1,""
"Dam",43.465828,-110.829025,"Estimated dam","WY106835","Estimated Dams OCT 2021","1704002190",true,55001200093703,"","1a","yes","no","","","","yes",-1,0.069964,2.4334,0,"Unknown","Unknown","No","","Unknown","not identified as a priority by resource managers",0,156,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not assessed","Not yet evaluated","Unknown","Unknown",,0.9075978,0,"no",0,"Unknown","Unknown or none",0,0,0,"cutthroat trout","","Unknown","no","","no","no","Cayuse, Umatilla and Walla Walla, Newe Sogobia (Eastern Shoshone), Shoshone-Bannock, Tséstho’e (Cheyenne)","","Desert Fish Habitat Partnership, Western Native Trout Initiative","Snake Headwaters","Greys-Hoback","Spring Creek-Snake River","17","170401","17040103","1704010305","170401030504","Wyoming","Teton","WY00","no","no","no","yes","yes","stream is not likely intermittent / ephemeral","stream is not identified by NHD as a canal/ditch",1,82,0,0,0,2.118,0.256,1.862,0.122,1.997,94,0.135,53,2.118,100,3103.2432,1.2105744,192.10704,0.093,0.022,0,0.022,0,0.022,0.022,0.022,0,2.141,0.256,0,0,0,0,0,0,0,0.022,0,0.022,0,0.022,-1,-1,-1,-1,0,0,0,10,1,10,3,38,0,1308.0422,"no",0,0,"https://aquaticbarriers.org/report/combined_barriers/WY106835","","","","","Not applicable (dam)","Not applicable (dam)","Not applicable (dam)","","Not applicable (dam)",-1,""
