watername,location,site,date,year,locationsub,start.lat,start.lon,stop.lat,stop.lon,method,pass,genID,CORRgenID,species,life.stage,spawncond,sex,TL.mm,TL.in,FL.mm,weight.g,weight.lbs,count,lice,notes,survey.notes,collection.type,run,sizecat
snake,wilsonsouthpark,snake_wilsonsouthpark,10/12/20,2020,Wilson to South Park,43.499732,-110.840168,43.413468,-110.827745,raft efish,1,20MSA0001,20MSA0001,SRC,adult,NA,NA,442,17.4,NA,857,1.89,1,0,NA,WGFD SR pop est day 1,mixture,0,5
snake,wilsonsouthpark,snake_wilsonsouthpark,10/12/20,2020,Wilson to South Park,43.499732,-110.840168,43.413468,-110.827745,raft efish,1,20MSA0002,20MSA0002,SRC,adult,NA,NA,460,18.1,NA,980,2.16,1,0,NA,WGFD SR pop est day 1,mixture,1,6
snake,wilsonsouthpark,snake_wilsonsouthpark,10/12/20,2020,Wilson to South Park,43.499732,-110.840168,43.413468,-110.827745,raft efish,1,20MSA0003,20MSA0003,SRC,adult,NA,NA,437,17.2,NA,862,1.9,1,0,NA,WGFD SR pop est day 1,mixture,1,5
snake,wilsonsouthpark,snake_wilsonsouthpark,10/12/20,2020,Wilson to South Park,43.499732,-110.840168,43.413468,-110.827745,raft efish,1,20MSA0004,20MSA0004,SRC,adult,NA,NA,442,17.4,NA,880,1.94,1,0,NA,WGFD SR pop est day 1,mixture,0,5
snake,wilsonsouthpark,snake_wilsonsouthpark,10/12/20,2020,Wilson to South Park,43.499732,-110.840168,43.413468,-110.827745,raft efish,1,20MSA0005,20MSA0005,SRC,adult,NA,NA,439,17.3,NA,748,1.65,1,0,NA,WGFD SR pop est day 1,mixture,0,5
snake,wilsonsouthpark,snake_wilsonsouthpark,10/12/20,2020,Wilson to South Park,43.499732,-110.840168,43.413468,-110.827745,raft efish,1,20MSA0006,20MSA0006,SRC,adult,NA,NA,432,17,NA,789,1.74,1,0,NA,WGFD SR pop est day 1,mixture,0,5
snake,wilsonsouthpark,snake_wilsonsouthpark,10/12/20,2020,Wilson to South Park,43.499732,-110.840168,43.413468,-110.827745,raft efish,1,20MSA0007,20MSA0007,SRC,adult,NA,NA,434,17.1,NA,744,1.64,1,0,NA,WGFD SR pop est day 1,mixture,0,5
snake,wilsonsouthpark,snake_wilsonsouthpark,10/13/20,2020,Wilson to South Park,43.499732,-110.840168,43.413468,-110.827745,raft efish,2,20MSA0008,20MSA0008,SRC,adult,NA,NA,432,17,NA,767,1.69,1,0,NA,WGFD SR pop est day 2,mixture,1,5
snake,wilsonsouthpark,snake_wilsonsouthpark,10/13/20,2020,Wilson to South Park,43.499732,-110.840168,43.413468,-110.827745,raft efish,2,20MSA0009,20MSA0009,SRC,adult,NA,NA,452,17.8,NA,898,1.98,1,0,NA,WGFD SR pop est day 2,mixture,1,6
snake,wilsonsouthpark,snake_wilsonsouthpark,10/13/20,2020,Wilson to South Park,43.499732,-110.840168,43.413468,-110.827745,raft efish,2,20MSA0010,20MSA0010,SRC,adult,NA,NA,457,18,NA,989,2.18,1,0,NA,WGFD SR pop est day 2,mixture,1,6
snake,wilsonsouthpark,snake_wilsonsouthpark,10/13/20,2020,Wilson to South Park,43.499732,-110.840168,43.413468,-110.827745,raft efish,2,20MSA0011,20MSA0011,SRC,adult,NA,NA,447,17.6,NA,807,1.78,1,0,NA,WGFD SR pop est day 2,mixture,0,5
snake,wilsonsouthpark,snake_wilsonsouthpark,10/15/20,2020,Wilson to South Park,43.499732,-110.840168,43.413468,-110.827745,raft efish,3,20MSA0012,20MSA0012,SRC,adult,NA,NA,442,17.4,NA,NA,NA,1,0,NA,WGFD SR pop est day 3,mixture,0,5
snake,wilsonsouthpark,snake_wilsonsouthpark,10/15/20,2020,Wilson to South Park,43.499732,-110.840168,43.413468,-110.827745,raft efish,3,20MSA0013,20MSA0013,SRC,adult,NA,NA,478,18.8,NA,1152,2.54,1,0,NA,WGFD SR pop est day 3,mixture,1,6
snake,wilsonsouthpark,snake_wilsonsouthpark,10/15/20,2020,Wilson to South Park,43.499732,-110.840168,43.413468,-110.827745,raft efish,3,20MSA0014,20MSA0014,SRC,adult,NA,NA,432,17,NA,871,1.92,1,0,NA,WGFD SR pop est day 3,mixture,1,5
snake,wilsonsouthpark,snake_wilsonsouthpark,10/15/20,2020,Wilson to South Park,43.499732,-110.840168,43.413468,-110.827745,raft efish,3,20MSA0015,20MSA0015,SRC,adult,NA,NA,439,17.3,NA,816,1.8,1,0,NA,WGFD SR pop est day 3,mixture,0,5
snake,wilsonsouthpark,snake_wilsonsouthpark,10/15/20,2020,Wilson to South Park,43.499732,-110.840168,43.413468,-110.827745,raft efish,3,20MSA0016,20MSA0016,SRC,adult,NA,NA,455,17.9,NA,993,2.19,1,0,NA,WGFD SR pop est day 3,mixture,1,6
snake,wilsonsouthpark,snake_wilsonsouthpark,10/15/20,2020,Wilson to South Park,43.499732,-110.840168,43.413468,-110.827745,raft efish,3,20MSA0017,20MSA0017,SRC,adult,NA,NA,457,18,NA,984,2.17,1,0,NA,WGFD SR pop est day 3,mixture,1,6
snake,deadmansmoose,snake_deadmansmoose,10/21/20,2020,Deadmans to Moose,43.761193,-110.627337,43.753432,-110.64516,raft efish,NA,20MSA0018,20MSA0018,SRC,adult,NA,NA,402,NA,NA,590,1.3,1,NA,NA,NA,mixture,1,5
snake,deadmansmoose,snake_deadmansmoose,10/21/20,2020,Deadmans to Moose,43.761193,-110.627337,43.753432,-110.64516,raft efish,NA,20MSA0019,20MSA0019,SRC,adult,NA,NA,415,NA,NA,671,1.48,1,NA,NA,NA,mixture,1,5
snake,deadmansmoose,snake_deadmansmoose,10/21/20,2020,Deadmans to Moose,43.761193,-110.627337,43.753432,-110.64516,raft efish,NA,20MSA0020,20MSA0020,SRC,adult,NA,NA,460,NA,NA,1007,2.22,1,NA,NA,NA,mixture,1,6
snake,deadmansmoose,snake_deadmansmoose,10/21/20,2020,Deadmans to Moose,43.761193,-110.627337,43.753432,-110.64516,raft efish,NA,20MSA0021,20MSA0021,SRC,adult,NA,NA,327,NA,NA,386,0.85,1,NA,NA,NA,mixture,1,3
snake,deadmansmoose,snake_deadmansmoose,10/21/20,2020,Deadmans to Moose,43.761193,-110.627337,43.753432,-110.64516,raft efish,NA,20MSA0022,20MSA0022,SRC,adult,NA,NA,230,NA,NA,127,0.28,1,NA,NA,NA,mixture,1,1
snake,deadmansmoose,snake_deadmansmoose,10/21/20,2020,Deadmans to Moose,43.761193,-110.627337,43.753432,-110.64516,raft efish,NA,20MSA0023,20MSA0023,SRC,adult,NA,NA,345,NA,NA,426,0.94,1,NA,NA,NA,mixture,1,3
snake,deadmansmoose,snake_deadmansmoose,10/21/20,2020,Deadmans to Moose,43.761193,-110.627337,43.753432,-110.64516,raft efish,NA,20MSA0024,20MSA0024,SRC,adult,NA,NA,352,NA,NA,440,0.97,1,NA,NA,NA,mixture,1,4
snake,deadmansmoose,snake_deadmansmoose,10/21/20,2020,Deadmans to Moose,43.761193,-110.627337,43.753432,-110.64516,raft efish,NA,20MSA0025,20MSA0025,SRC,adult,NA,NA,341,NA,NA,367,0.81,1,NA,NA,NA,mixture,1,3
snake,deadmansmoose,snake_deadmansmoose,10/21/20,2020,Deadmans to Moose,43.761193,-110.627337,43.753432,-110.64516,raft efish,NA,20MSA0026,20MSA0026,SRC,adult,NA,NA,389,NA,NA,671,1.48,1,NA,NA,NA,mixture,1,4
snake,deadmansmoose,snake_deadmansmoose,10/21/20,2020,Deadmans to Moose,43.761193,-110.627337,43.753432,-110.64516,raft efish,NA,20MSA0027,20MSA0027,SRC,adult,NA,NA,329,NA,NA,358,0.79,1,NA,NA,NA,mixture,1,3
snake,deadmansmoose,snake_deadmansmoose,10/21/20,2020,Deadmans to Moose,43.761193,-110.627337,43.753432,-110.64516,raft efish,NA,20MSA0028,20MSA0028,SRC,adult,NA,NA,337,NA,NA,404,0.89,1,NA,NA,NA,mixture,1,3
snake,deadmansmoose,snake_deadmansmoose,10/21/20,2020,Deadmans to Moose,43.761193,-110.627337,43.753432,-110.64516,raft efish,NA,20MSA0029,20MSA0029,SRC,adult,NA,NA,335,NA,NA,386,0.85,1,NA,NA,NA,mixture,1,3
snake,deadmansmoose,snake_deadmansmoose,10/21/20,2020,Deadmans to Moose,43.761193,-110.627337,43.753432,-110.64516,raft efish,NA,20MSA0030,20MSA0030,SRC,adult,NA,NA,389,NA,NA,526,1.16,1,NA,NA,NA,mixture,1,4
snake,deadmansmoose,snake_deadmansmoose,10/21/20,2020,Deadmans to Moose,43.761193,-110.627337,43.753432,-110.64516,raft efish,NA,20MSA0031,20MSA0031,SRC,adult,NA,NA,375,NA,NA,535,1.18,1,NA,NA,NA,mixture,1,4
snake,deadmansmoose,snake_deadmansmoose,10/21/20,2020,Deadmans to Moose,43.761193,-110.627337,43.753432,-110.64516,raft efish,NA,20MSA0032,20MSA0032,SRC,adult,NA,NA,348,NA,NA,408,0.9,1,NA,NA,NA,mixture,0,3
snake,deadmansmoose,snake_deadmansmoose,10/21/20,2020,Deadmans to Moose,43.761193,-110.627337,43.753432,-110.64516,raft efish,NA,20MSA0033,20MSA0033,SRC,adult,NA,NA,265,NA,NA,181,0.4,1,NA,NA,NA,mixture,1,2
snake,deadmansmoose,snake_deadmansmoose,10/21/20,2020,Deadmans to Moose,43.761193,-110.627337,43.753432,-110.64516,raft efish,NA,20MSA0034,20MSA0034,SRC,adult,NA,NA,210,NA,NA,86,0.19,1,NA,NA,NA,mixture,1,1
snake,deadmansmoose,snake_deadmansmoose,10/21/20,2020,Deadmans to Moose,43.761193,-110.627337,43.753432,-110.64516,raft efish,NA,20MSA0035,20MSA0035,SRC,adult,NA,NA,419,NA,NA,708,1.56,1,NA,NA,NA,mixture,1,5
snake,deadmansmoose,snake_deadmansmoose,10/21/20,2020,Deadmans to Moose,43.761193,-110.627337,43.753432,-110.64516,raft efish,NA,20MSA0036,20MSA0036,SRC,adult,NA,NA,354,NA,NA,454,1,1,NA,NA,NA,mixture,1,4
snake,deadmansmoose,snake_deadmansmoose,10/21/20,2020,Deadmans to Moose,43.761193,-110.627337,43.753432,-110.64516,raft efish,NA,20MSA0037,20MSA0037,SRC,adult,NA,NA,393,NA,NA,630,1.39,1,NA,NA,NA,mixture,1,4
