rid,binaryID
1,11101111111111111011010001001010001000000100000000000000000001001000000000000000000000000000
2,1110111111111111101101000100101000100000010000000000000000000100100000000000000000000000000
3,111011111111111110110100010010100010000001000000000000000000010010000000000000000000000000
4,11101111111111111011010001001010001000000100000000000000000001001000000000000000000000000
5,1110111111111111101101000100101000100000010000000000000000000100100000000000000000000000
6,111011111111111110110100010010100010000001000000000000000000010010000000000000000000000
7,11101111111111111011010001001010001000000100000000000000000001001000000000000000000000
8,1110111111111111101101000100101000100000010000000000000000000100100000000000000000000
9,111011111111111110110100010010100010000001000000000000000000010010000000000000000000
10,11101111111111111011010001001010001000000100000000000000000001001000000000000000000
11,1110111111111111101101000100101000100000010000000000000000000100100000000000000000
12,111011111111111110110100010010100010000001000000000000000000010010000000000000000
13,11101111111111111011010001001010001000000100000000000000000001001000000000000000
14,1110111111111111101101000100101000100000010000000000000000000100100000000000000
15,111011111111111110110100010010100010000001000000000000000000010010000000000000
16,11101111111111111011010001001010001000000100000000000000000001001000000000000
17,1110111111111111101101000100101000100000010000000000000000000100100000000000
18,111011111111111110110100010010100010000001000000000000000000010010000000000
19,11101111111111111011010001001010001000000100000000000000000001001000000000
20,1110111111111111101101000100101000100000010000000000000000000100100000000
21,111011111111111110110100010010100010000001000000000000000000010010000000
22,11101111111111111011010001001010001000000100000000000000000001001000000
23,1110111111111111101101000100101000100000010000000000000000000100100000
24,111011111111111110110100010010100010000001000000000000000000010010000
25,11101111111111111011010001001010001000000100000000000000000001001000
26,1110111111111111101101000100101000100000010000000000000000000100100
27,111011111111111110110100010010100010000001000000000000000000010010
28,11101111111111111011010001001010001000000100000000000000000001001
29,1110111111111111101101000100101000100000010000000000000000000100
30,1110111111111111101101000100101000100000010000000000000000000
31,111011111111111110110100010010100010000001000000000000000000
32,11101111111111111011010001001010001000000100000000000000000
33,1110111111111111101101000100101000100000010000000000000000
34,111011111111111110110100010010100010000001000000000000000
35,11101111111111111011010001001010001000000100000000000000
36,1110111111111111101101000100101000100000010000000000000
37,111011111111111110110100010010100010000001000000000000
38,11101111111111111011010001001010001000000100000000000
39,1110111111111111101101000100101000100000010000000000
40,111011111111111110110100010010100010000001000000000
41,11101111111111111011010001001010001000000100000000
42,1110111111111111101101000100101000100000010000000
43,111011111111111110110100010010100010000001000000
44,11101111111111111011010001001010001000000100000
45,1110111111111111101101000100101000100000010000
46,111011111111111110110100010010100010000001000
47,11101111111111111011010001001010001000000100
48,1110111111111111101101000100101000100000010
49,111011111111111110110100010010100010000001
50,11101111111111111011010001001010001000000
51,1110111111111111101101000100101000100000
52,111011111111111110110100010010100010000
53,11101111111111111011010001001010001000
54,1110111111111111101101000100101000100
55,111011111111111110110100010010100010
56,1110111111111111101101000100101000
57,111011111111111110110100010010100
58,11101111111111111011010001001010
59,1110111111111111101101000100101
60,111011111111111110110100010010
61,1110111111111111101101000100
62,111011111111111110110100010
63,11101111111111111011010001
64,1110111111111111101101000
65,111011111111111110110100
66,11101111111111111011010
67,111011111111111110110
69,111011111111111110110100010010100010000001000000000000000000010010000000000000000000000100
70,11101111111111111011010001001010001000000100000000000000000001001000000000000000000000010
71,1110111111111111101101000100101000100000010000000000000000000100100000000000000000000001
72,1110111111111111101101000100101000100000010000000000000000000100100001000000000
73,111011111111111110110100010010100010000001000000000000000000010010000100000000
74,11101111111111111011010001001010001000000100000000000000000001001000010000000
75,1110111111111111101101000100101000100000010000000000000000000100100001000000
76,111011111111111110110100010010100010000001000000000000000000010010000100000
77,11101111111111111011010001001010001000000100000000000000000001001000010000
78,1110111111111111101101000100101000100000010000000000000000000100100001000
79,111011111111111110110100010010100010000001000000000000000000010010000100
80,11101111111111111011010001001010001000000100000000000000000001001000010
81,1110111111111111101101000100101000100000010000000000000000000100100001
82,1110111111111111101101000100101000100000010000000000000000000101000000000000000000
