"rid","fromnode","tonode"
1,1,2
2,2,3
3,3,4
4,4,5
5,5,6
6,6,7
7,7,8
8,8,9
9,9,10
10,10,11
11,11,12
12,12,13
13,13,14
14,14,15
15,15,16
16,16,17
17,17,18
18,18,19
19,19,20
20,20,21
21,21,22
22,22,23
23,23,24
24,24,25
25,25,26
26,26,27
27,27,28
28,28,29
29,29,30
30,31,32
31,32,33
32,33,34
33,34,35
34,35,36
35,36,37
36,37,38
37,38,39
38,39,40
39,40,41
40,41,42
41,42,43
42,43,44
43,44,45
44,45,46
45,46,47
46,47,48
47,48,49
48,49,50
49,50,51
50,51,52
51,52,53
52,53,54
53,54,55
54,55,56
55,56,57
56,58,59
57,59,60
58,60,61
59,61,62
60,62,63
61,64,65
62,65,66
63,66,67
64,67,68
65,68,69
66,69,70
67,71,72
68,73,74
69,75,76
70,76,77
71,77,6
72,78,79
73,79,80
74,80,81
75,81,82
76,82,83
77,83,84
78,84,85
79,85,86
80,86,87
81,87,24
82,88,89
83,89,90
84,90,91
85,91,92
86,92,93
87,93,94
88,94,95
89,95,96
90,96,97
91,97,98
92,98,99
93,99,100
94,100,101
95,101,102
96,102,103
97,103,104
98,104,105
99,105,106
100,30,107
101,107,31
102,108,109
103,109,110
104,110,111
105,111,90
106,112,76
107,113,2
108,114,79
109,115,109
110,116,3
111,117,82
112,118,4
113,119,77
114,120,81
115,121,110
116,122,123
117,123,124
118,124,125
119,125,126
120,126,127
121,127,128
122,128,129
123,129,130
124,130,131
125,131,132
126,132,133
127,133,134
128,134,135
129,135,136
130,136,137
131,137,138
132,138,139
133,139,140
134,140,141
135,141,142
136,142,143
137,143,144
138,144,145
139,145,146
140,146,147
141,147,148
142,148,149
143,149,150
144,150,151
145,151,152
146,152,153
147,153,154
148,154,155
149,155,156
150,156,157
151,157,158
152,158,159
153,159,160
154,160,161
155,161,162
156,162,163
157,163,164
158,164,165
159,165,166
160,166,167
161,167,168
162,168,169
163,169,170
164,170,171
165,171,172
166,172,173
167,173,174
168,174,175
169,175,176
170,176,177
171,177,178
172,178,179
173,179,180
174,180,181
175,181,182
176,182,183
177,183,184
178,184,185
179,185,186
180,186,187
181,187,188
182,188,189
183,189,190
184,190,191
185,191,192
186,192,193
187,193,194
188,194,195
189,196,197
190,198,5
191,199,111
192,200,7
193,201,202
194,202,203
195,203,125
196,204,8
197,205,206
198,206,89
199,207,123
200,208,84
201,209,11
202,210,211
203,211,202
204,212,213
205,213,214
206,214,215
207,215,18
208,216,80
209,217,218
210,218,219
211,219,9
212,220,91
213,221,93
214,222,218
215,223,83
216,224,10
217,225,213
218,226,94
219,227,228
220,228,229
221,229,206
222,230,124
223,231,232
224,232,219
225,233,95
226,234,92
227,235,232
228,236,237
229,237,238
230,238,100
231,239,215
232,240,211
233,241,237
234,242,238
235,243,229
236,244,126
237,245,14
238,246,12
239,247,248
240,248,228
241,249,96
242,250,203
243,251,85
244,252,86
245,253,254
246,254,255
247,255,13
248,256,214
249,257,258
250,258,248
251,259,260
252,260,261
253,261,262
254,262,263
255,263,101
256,264,98
257,265,129
258,266,258
259,267,268
260,268,127
261,269,97
262,270,262
263,271,15
264,272,17
265,273,268
266,274,260
267,275,130
268,276,16
269,277,255
270,278,87
271,279,280
272,280,102
273,281,128
274,282,283
275,283,284
276,284,285
277,285,286
278,286,261
279,287,20
280,288,99
281,289,254
282,290,291
283,291,132
284,292,286
285,293,131
286,294,295
287,295,296
288,296,297
289,297,298
290,298,19
291,299,280
292,300,283
293,301,298
294,302,296
295,303,304
296,304,103
297,305,291
298,306,21
299,307,263
300,308,295
301,309,284
302,310,311
303,311,297
304,312,22
305,313,133
306,314,315
307,315,135
308,316,317
309,317,318
310,318,285
311,319,304
312,320,317
313,321,322
314,322,323
315,323,311
316,324,325
317,325,326
318,326,327
319,327,136
320,328,134
321,329,318
322,330,315
323,331,327
324,332,333
325,333,334
326,335,105
327,336,333
328,337,322
329,338,23
330,339,137
331,340,341
332,341,334
333,342,343
334,343,344
335,344,345
336,345,341
337,346,343
338,347,323
339,348,325
340,349,326
341,350,351
342,351,352
343,352,353
344,353,354
345,354,355
346,355,356
347,356,357
348,357,35
349,358,359
350,359,360
351,360,361
352,361,352
353,362,25
354,363,138
355,364,359
356,365,345
357,366,26
358,367,368
359,369,370
360,370,344
361,371,351
362,372,27
363,373,360
364,374,375
365,375,139
366,376,28
367,377,378
368,378,361
369,379,380
370,380,370
371,381,382
372,382,383
373,383,384
374,384,385
375,385,386
376,386,368
377,387,388
378,388,389
379,389,33
380,390,386
381,391,140
382,392,378
383,393,32
384,394,380
385,395,396
386,396,375
387,397,396
388,398,399
389,399,354
390,400,353
391,401,383
392,402,385
393,403,399
394,404,144
395,405,387
396,406,141
397,407,355
398,408,409
399,409,410
400,410,411
401,411,34
402,412,107
403,413,142
404,414,409
405,415,416
406,416,417
407,417,356
408,418,419
409,419,388
410,420,421
411,421,410
412,422,423
413,423,382
414,424,425
415,425,426
416,426,148
417,427,143
418,428,416
419,429,145
420,430,431
421,431,384
422,432,421
423,433,417
424,434,423
425,435,147
426,436,425
427,437,438
428,438,357
429,439,440
430,440,438
431,441,426
432,442,411
433,443,146
434,444,445
435,445,440
436,446,389
437,447,448
438,448,449
439,449,450
440,450,451
441,451,452
442,452,453
443,453,41
444,454,152
445,455,456
446,456,457
447,457,38
448,458,459
449,459,460
450,460,36
451,461,462
452,462,149
453,463,431
454,464,151
455,465,466
456,466,467
457,467,157
458,468,469
459,469,456
460,470,471
461,471,472
462,472,473
463,473,474
464,474,475
465,475,476
466,476,158
467,477,462
468,478,471
469,479,473
470,480,37
471,481,482
472,482,483
473,483,484
474,484,485
475,485,486
476,486,487
477,487,445
478,488,472
479,489,487
480,490,150
481,491,485
482,492,39
483,493,494
484,494,495
485,495,496
486,496,452
487,497,494
488,498,499
489,499,460
490,500,155
491,501,495
492,502,503
493,503,469
494,504,448
495,505,499
496,506,153
497,507,449
498,508,509
499,509,457
500,510,511
501,511,466
502,512,486
503,513,514
504,514,482
505,515,467
506,516,154
507,517,496
508,518,474
509,519,520
510,520,503
511,521,450
512,522,523
513,523,509
514,524,525
515,525,511
516,526,525
517,527,528
518,528,529
519,529,159
520,530,520
521,531,156
522,532,533
523,533,453
524,534,523
525,535,40
526,536,537
527,537,538
528,538,483
529,539,528
530,540,514
531,541,542
532,542,484
533,543,544
534,544,545
535,545,475
536,546,451
537,547,544
538,548,542
539,549,550
540,550,538
541,551,552
542,552,553
543,553,554
544,554,555
545,555,556
546,556,43
547,557,476
548,558,559
549,559,529
550,560,561
551,561,562
552,562,563
553,563,564
554,564,565
555,565,566
556,566,555
557,567,568
558,568,569
559,569,537
560,570,571
561,571,559
562,572,550
563,573,574
564,574,575
565,575,576
566,576,46
567,577,533
568,578,579
569,579,580
570,580,568
571,581,556
572,582,42
573,583,584
574,584,160
575,585,44
576,586,587
577,587,545
578,588,571
579,589,574
580,590,591
581,591,587
582,592,593
583,593,163
584,594,575
585,595,566
586,596,45
587,597,584
588,598,599
589,599,569
590,600,579
591,601,591
592,602,603
593,603,604
594,604,605
595,605,606
596,606,607
597,607,608
598,608,609
599,609,610
600,610,611
601,611,612
602,612,613
603,613,614
604,614,615
605,615,616
606,616,617
607,617,618
608,618,56
609,619,576
610,620,162
611,621,580
612,622,561
613,623,624
614,624,625
615,625,626
616,626,627
617,627,48
618,628,565
619,629,630
620,630,593
621,631,632
622,632,626
623,633,161
624,634,562
625,635,624
626,636,630
627,637,625
628,638,47
629,639,599
630,640,164
631,641,563
632,642,643
633,643,644
634,644,645
635,645,52
636,646,647
637,647,603
638,648,169
639,649,650
640,650,651
641,651,652
642,652,653
643,653,166
644,654,644
645,655,165
646,656,652
647,657,647
648,658,627
649,659,605
650,660,564
651,661,650
652,662,643
653,663,651
654,664,665
655,665,170
656,666,667
657,667,49
658,668,645
659,669,667
660,670,604
661,671,168
662,672,673
663,673,674
664,674,174
665,675,50
666,676,677
667,677,678
668,678,608
669,679,665
670,680,653
671,681,607
672,682,683
673,683,614
674,684,685
675,685,686
676,686,687
677,687,677
678,688,689
679,689,690
680,690,617
681,691,606
682,692,693
683,693,53
684,694,695
685,695,685
686,696,697
687,697,698
688,698,699
689,699,167
690,700,683
691,701,699
692,702,692
693,703,687
694,704,686
695,705,706
696,706,707
697,707,708
698,708,709
699,709,710
700,710,711
701,711,712
702,712,713
703,713,714
704,714,715
705,715,716
706,716,717
707,717,718
708,718,719
709,719,720
710,720,721
711,721,722
712,722,723
713,723,724
714,724,725
715,725,726
716,726,727
717,727,728
718,728,729
719,729,730
720,730,731
721,731,732
722,732,733
723,733,734
724,734,735
725,735,736
726,736,737
727,737,738
728,738,739
729,739,740
730,740,741
731,741,742
732,742,743
733,743,744
734,744,745
735,745,746
736,746,747
737,747,748
738,748,749
739,749,750
740,750,751
741,751,752
742,752,753
743,753,754
744,754,755
745,755,756
746,756,757
747,757,758
748,758,759
749,759,760
750,760,761
751,761,762
752,762,763
753,763,764
754,764,765
755,765,766
756,766,767
757,767,768
758,768,769
759,769,770
760,770,195
761,771,54
762,772,171
763,773,697
764,774,610
