"pointid","xcoord","ycoord"
1,481017.353306992,4703849.20951127
2,486089.444253124,4705189.17680023
3,486341.25018662,4706762.96388458
4,486188.368012712,4707842.13217099
5,486278.298703246,4708282.7925546
6,486170.381874605,4709622.75984356
7,486296.284841353,4709892.55191517
8,486350.243255674,4710117.3786415
9,486745.938294024,4712050.88848799
10,486952.778882253,4712329.67362865
11,487663.231337474,4713741.58547003
12,487888.05806381,4713804.53695341
13,488994.205557381,4714640.89237538
14,489084.136247915,4714631.89930632
15,490082.366912846,4716358.56856458
16,490469.068882143,4716664.3329124
17,490999.659956295,4717158.95171034
18,492609.419316859,4718489.92593024
19,492555.460902538,4718831.66255427
20,494345.08164417,4719614.05956192
21,495208.416273299,4720513.36646726
22,495586.125173543,4721259.7911987
23,496359.529112138,4722590.76541861
24,499902.798319188,4725054.86633924
25,500532.313152927,4727734.80091717
26,500928.008191278,4728175.46130078
27,501026.931950866,4728517.19792481
28,500748.14681021,4729317.58107057
29,501080.890365186,4730099.97807822
30,502207.829757665,4732619.70700425
31,502330.926963613,4733859.08094255
32,502025.162615796,4737923.9481547
33,502258.982411185,4738526.48378128
34,501899.259649048,4738832.24812909
35,501881.273510941,4738958.15109584
36,502393.878446987,4740513.95204209
37,501413.633920163,4741620.09953566
38,501179.814124774,4742150.69060981
39,501683.425991766,4742690.27475301
40,501548.529955965,4743076.97672231
41,501107.869572347,4744291.04104452
42,499848.839904867,4747681.42807767
43,499794.881490546,4747996.18549454
44,499453.144866516,4748769.58943313
45,499309.255761661,4749318.16664539
46,498589.810237387,4752429.76853788
47,498517.86568496,4753634.83979103
48,498760.678549402,4754399.25066058
49,498329.011234838,4754794.94569893
50,498005.260748915,4755865.12091628
51,497888.35085122,4756917.30999553
52,497753.454815419,4757618.7693817
53,497717.482539205,4757996.47828195
54,498131.163715663,4761359.88610793
55,498005.260748915,4763365.34050684
56,497330.780569908,4764831.21076255
57,497231.85681032,4765505.69094156
58,496808.029392724,4766145.35201644
59,497168.905326946,4767250.34633792
60,497357.759777068,4768005.76413841
61,497159.912257892,4768824.13342227
62,497249.842948427,4768905.07104375
63,496602.34197658,4769534.58587749
64,496772.239405392,4770222.96552875
65,496602.34197658,4772178.5481792
66,496890.12018629,4773203.75805129
67,497186.891465053,4774049.10654231
68,497501.648881923,4775299.14314074
69,497267.829086534,4775613.90055761
70,496881.127117236,4776072.54707933
71,496838.087680788,4776560.47865376
72,495319.369943803,4779254.2830912
73,483490.447296684,4797449.07221933
74,483076.766120226,4798914.94247504
75,489308.962974251,4705099.24610969
76,488751.392692939,4705899.62925545
77,488877.295659687,4707581.33316844
78,492879.211388461,4705369.03818129
79,492645.391593072,4706834.908437
